"Ano/mês";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2018/Jun";"77652";"33138";"234577";"52105";"259024";"30815";"56982";"257372";"105079";"388834";"99019";"129372";"361534";"135818";"80807";"401669";"846994";"160364";"894724";"1805497";"414971";"303154";"349803";"127067";"146257";"225768";"113530";"8091926"
"2018/Jul";"138877";"39502";"581957";"61893";"335140";"37164";"61492";"316842";"126919";"456360";"132421";"170265";"446142";"184007";"112735";"593224";"1033489";"190396";"526092";"2367778";"516821";"321760";"440469";"144557";"171267";"275630";"134116";"9917315"
"2018/Ago";"134188";"72646";"556559";"59952";"476956";"70064";"113793";"490550";"241329";"670690";"165542";"235847";"645254";"228572";"144764";"789317";"1585334";"363259";"733727";"3076235";"1038753";"676128";"591486";"240183";"274738";"396437";"199768";"14272071"
"2018/Set";"79137";"34714";"279503";"39823";"303202";"37582";"60386";"273408";"123594";"381027";"114657";"160395";"403445";"147462";"90263";"505773";"823964";"166891";"469581";"1658712";"428974";"287366";"330354";"153269";"148904";"236918";"115590";"7854894"
"2018/Out";"77014";"37836";"257870";"65675";"308859";"40057";"72182";"298153";"127231";"411006";"120357";"167752";"417654";"151992";"100097";"537588";"890445";"177619";"695909";"1814536";"537281";"403075";"394171";"139418";"169187";"259244";"120011";"8792219"
"2018/Nov";"68930";"32721";"205095";"63046";"285931";"34560";"61103";"250417";"115971";"363815";"105335";"142577";"357439";"135996";"92158";"454527";"732328";"180304";"484834";"1636340";"803637";"381897";"358794";"126306";"147517";"239015";"101797";"7962390"
"2018/Dez";"58752";"26697";"171852";"56998";"216711";"27652";"47566";"178918";"84572";"280393";"102440";"113640";"280053";"114947";"65903";"346051";"594591";"128373";"446073";"1400693";"435666";"249577";"279979";"92908";"119937";"177173";"91190";"6189305"
"2019/Jan";"82237";"40682";"256039";"72926";"356131";"44310";"74708";"326883";"134964";"370722";"123035";"170937";"415113";"141738";"102526";"552713";"847333";"184476";"545274";"1993758";"595064";"331420";"398592";"145287";"171185";"282321";"131040";"8891414"
"2019/Fev";"71341";"37351";"229700";"55377";"327355";"37951";"58958";"266001";"111338";"312480";"104295";"152615";"344810";"141536";"83179";"461852";"698731";"157426";"451791";"1724581";"820894";"634251";"349745";"120782";"134883";"224380";"105523";"8219126"
"2019/Mar";"71163";"36522";"288559";"53817";"324522";"37158";"62492";"270177";"111475";"327593";"102980";"151597";"358676";"130575";"85848";"475235";"752646";"167541";"485633";"1843941";"683813";"678717";"365809";"128522";"147572";"271061";"114111";"8527755"
"2019/Abr";"86015";"41670";"283221";"52092";"336084";"36998";"74337";"314361";"126852";"380194";"117957";"184099";"392795";"151912";"95396";"526198";"933847";"194183";"468606";"1952853";"665428";"904674";"446235";"146822";"173925";"290296";"116994";"9494044"
"2019/Mai";"88568";"40283";"247671";"61621";"334859";"38210";"78371";"318745";"127943";"376195";"122188";"171292";"435169";"161969";"103439";"537135";"1042488";"214029";"522841";"2221480";"626749";"565736";"422462";"154124";"182518";"285416";"140270";"9621771"
"2019/Jun";"74321";"37626";"208097";"33496";"299320";"32694";"62222";"244994";"110521";"308681";"96672";"134489";"302452";"120032";"68847";"385528";"757639";"148810";"466326";"1828486";"485889";"350078";"358681";"122369";"139892";"207976";"105828";"7491966"
"2019/Jul";"80200";"41300";"227808";"39703";"330618";"35682";"65127";"291717";"131260";"357299";"129091";"184791";"388709";"161336";"94788";"566430";"862703";"200287";"573431";"3456743";"530001";"394311";"436266";"153013";"165137";"257184";"126629";"10281564"
"2019/Ago";"83566";"38967";"244090";"47430";"360301";"41384";"81290";"310602";"137528";"369445";"158457";"185651";"604679";"175269";"110549";"789298";"1041318";"307281";"588376";"3783315";"694421";"427337";"433914";"153269";"175876";"291158";"186593";"11821364"
"2019/Set";"91380";"37878";"230625";"48341";"380274";"36309";"74693";"331960";"145389";"361175";"145985";"216765";"593968";"172033";"109721";"684294";"1120250";"208899";"557506";"2299153";"636914";"409293";"377091";"164181";"165657";"282268";"136782";"10018784"
"2019/Out";"104087";"45440";"252749";"70431";"500042";"43542";"82630";"333263";"156702";"357005";"144470";"200838";"458249";"177756";"102830";"753918";"995763";"206267";"568687";"2151487";"743531";"501493";"493289";"164140";"198231";"282258";"141714";"10230812"
"2019/Nov";"79399";"41413";"208671";"51731";"367945";"34882";"69935";"277274";"167770";"390101";"122405";"185556";"367544";"163344";"102750";"556705";"798155";"188374";"715198";"1690105";"587319";"496679";"422994";"135364";"168138";"240472";"106345";"8736568"
"2019/Dez";"53573";"30822";"158480";"45694";"248664";"26130";"45655";"175419";"88635";"256831";"74907";"88082";"242880";"92239";"63335";"336454";"533886";"130513";"328222";"1236439";"348371";"218026";"284444";"103477";"110847";"135510";"93995";"5551530"
"2020/Jan";"80262";"44533";"263923";"58560";"398676";"38336";"80917";"278065";"145977";"396604";"116613";"149508";"387959";"146368";"79568";"544218";"831011";"200628";"499657";"2020197";"518281";"415329";"430596";"121780";"185018";"273797";"149629";"8856010"
"2020/Fev";"89834";"39364";"228216";"50014";"417915";"37771";"76695";"330326";"159806";"408244";"127923";"147865";"365650";"148689";"84873";"585882";"946925";"190194";"724837";"1861551";"823362";"625154";"573645";"130425";"205769";"264662";"149376";"9794967"
"2020/Mar";"78114";"34534";"217488";"42947";"392096";"30724";"63448";"285166";"134782";"308411";"99423";"118675";"495870";"137671";"84363";"543610";"828761";"164090";"736331";"1834855";"632087";"376662";"387579";"104080";"148507";"229445";"124728";"8634447"
"2020/Abr";"56544";"21420";"63594";"22284";"191437";"9216";"54025";"150891";"70916";"270382";"65640";"84562";"264186";"78869";"55420";"384007";"728877";"106590";"277724";"1324709";"371378";"271257";"272659";"82466";"112301";"174112";"87404";"5652870"
"2020/Mai";"74602";"29677";"165555";"24743";"214889";"10790";"72978";"179921";"109813";"314289";"109184";"128850";"424607";"110871";"71128";"537246";"1044359";"167371";"401166";"1997594";"586355";"365397";"382399";"125843";"169311";"307735";"136282";"8262955"
"2020/Jun";"78198";"25822";"223704";"27614";"306007";"18995";"73122";"239624";"117329";"351710";"89335";"113166";"368234";"99478";"68560";"542767";"954110";"152238";"421082";"1856516";"493210";"320407";"389297";"127461";"149123";"251859";"120248";"7979216"
"2020/Jul";"79135";"33828";"205157";"54178";"409829";"30652";"70584";"322576";"126820";"432652";"123535";"170241";"493158";"143564";"82812";"640434";"1107761";"194722";"455478";"2163593";"556154";"334665";"439245";"138665";"168303";"270897";"112715";"9361353"
"2020/Ago";"80148";"29471";"223981";"30106";"406231";"28166";"71569";"297778";"138726";"476414";"153341";"144872";"469470";"327697";"93528";"585242";"1070736";"267484";"463346";"2070485";"496881";"274254";"387641";"124898";"157033";"255434";"152619";"9277551"
"2020/Set";"72766";"32871";"197872";"31322";"390560";"30374";"64738";"266300";"119148";"381218";"125328";"131883";"405992";"158388";"68376";"520044";"756065";"205018";"396601";"1659716";"439961";"263679";"336723";"112957";"147952";"246949";"120340";"7683141"
"2020/Out";"103358";"44162";"273949";"39982";"415450";"43504";"98563";"362080";"184943";"618842";"184902";"220340";"670374";"193965";"166113";"681498";"1139640";"277350";"711286";"2290432";"643555";"448464";"595649";"169832";"253102";"457749";"162028";"11451112"
"2020/Nov";"85257";"32184";"191804";"28182";"313078";"16039";"65236";"228366";"117792";"318727";"113039";"130402";"431093";"128317";"99695";"471699";"735126";"170424";"423077";"1525382";"550943";"303499";"423375";"124712";"170446";"268815";"120890";"7587599"
"2020/Dez";"52401";"24494";"156035";"26065";"199488";"23791";"46999";"157762";"76192";"234628";"80139";"89812";"252744";"89591";"58760";"325030";"531944";"125582";"299098";"1121227";"362373";"192289";"272334";"78822";"108898";"163304";"86163";"5235965"
"2021/Jan";"51751";"28181";"124404";"32707";"252277";"44033";"59758";"211966";"103354";"307644";"84391";"118643";"279210";"108358";"66285";"365956";"611756";"147328";"368989";"1482102";"412190";"261376";"297170";"96911";"139667";"193494";"106074";"6355975"
"2021/Fev";"51105";"21835";"147960";"29245";"228860";"55372";"46187";"176713";"94643";"232340";"72825";"92781";"251389";"94172";"56915";"337095";"510833";"112041";"297660";"1186757";"374487";"249806";"254853";"82549";"118288";"169344";"83150";"5429205"
"2021/Mar";"61012";"26564";"188642";"34851";"266065";"24250";"57224";"194708";"95858";"236838";"86780";"100421";"280631";"114137";"65286";"386144";"589619";"126556";"356968";"1305397";"349406";"257065";"294122";"89864";"132490";"204363";"104832";"6030093"
"2021/Abr";"61982";"28231";"185016";"35844";"246844";"27969";"58057";"202194";"88137";"274605";"89020";"106371";"273482";"105806";"63357";"329713";"650676";"128486";"314522";"1562850";"387123";"276674";"331413";"103767";"135782";"255299";"105226";"6428446"
"2021/Mai";"47543";"16240";"121850";"7928";"134257";"14653";"34049";"94715";"46810";"80603";"55212";"55397";"152564";"69117";"28209";"190565";"305408";"77844";"234847";"563354";"133383";"93988";"118359";"54178";"84798";"105578";"89869";"3011318"
"2021/Dez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"Total";"35260489";"19118194";"83447447";"13704119";"164367908";"14413802";"31278948";"144770529";"57433652";"154019689";"51144426";"63145027";"172509410";"62072423";"37679715";"266283454";"341174852";"67349625";"248003941";"681051447";"182038486";"108771435";"163920382";"49368772";"66414517";"121704973";"49059414";"3449507076"
